#timestep  time            dt               CD_p             CD_f             CL_p
        0  1.50000000e+02  1.00000000e-03   2.86656697e-02   2.36423359e-02   4.04540854e-01
       25  1.50025000e+02  1.00000000e-03   2.84753351e-02   2.37038362e-02   4.02939176e-01
       50  1.50050000e+02  1.00000000e-03   2.82751623e-02   2.37623255e-02   4.01220578e-01
       75  1.50075000e+02  1.00000000e-03   2.80658656e-02   2.38174850e-02   3.99391016e-01
      100  1.50100000e+02  1.00000000e-03   2.78487130e-02   2.38690068e-02   3.97459265e-01
      125  1.50125000e+02  1.00000000e-03   2.76249262e-02   2.39165944e-02   3.95434138e-01
      150  1.50150000e+02  1.00000000e-03   2.73955379e-02   2.39599519e-02   3.93324254e-01
      175  1.50175000e+02  1.00000000e-03   2.71613594e-02   2.39987678e-02   3.91138297e-01
      200  1.50200000e+02  1.00000000e-03   2.69230225e-02   2.40327179e-02   3.88885397e-01
      225  1.50225000e+02  1.00000000e-03   2.66811186e-02   2.40614704e-02   3.86575762e-01
      250  1.50250000e+02  1.00000000e-03   2.64363588e-02   2.40847133e-02   3.84221147e-01
      275  1.50275000e+02  1.00000000e-03   2.61897384e-02   2.41021819e-02   3.81835211e-01
      300  1.50300000e+02  1.00000000e-03   2.59426602e-02   2.41136865e-02   3.79433659e-01
      325  1.50325000e+02  1.00000000e-03   2.56969505e-02   2.41191341e-02   3.77033982e-01
      350  1.50350000e+02  1.00000000e-03   2.54547737e-02   2.41185342e-02   3.74654927e-01
      375  1.50375000e+02  1.00000000e-03   2.52184619e-02   2.41119929e-02   3.72315792e-01
      400  1.50400000e+02  1.00000000e-03   2.49903267e-02   2.40996960e-02   3.70035726e-01
      425  1.50425000e+02  1.00000000e-03   2.47725017e-02   2.40818859e-02   3.67833122e-01
      450  1.50450000e+02  1.00000000e-03   2.45668509e-02   2.40588287e-02   3.65725141e-01
      475  1.50475000e+02  1.00000000e-03   2.43749878e-02   2.40307880e-02   3.63727624e-01
      500  1.50500000e+02  1.00000000e-03   2.41983302e-02   2.39980084e-02   3.61855075e-01
      525  1.50525000e+02  1.00000000e-03   2.40381797e-02   2.39607164e-02   3.60120749e-01
      550  1.50550000e+02  1.00000000e-03   2.38957596e-02   2.39191323e-02   3.58536712e-01
      575  1.50575000e+02  1.00000000e-03   2.37722154e-02   2.38734848e-02   3.57113903e-01
      600  1.50600000e+02  1.00000000e-03   2.36685695e-02   2.38240214e-02   3.55862109e-01
      625  1.50625000e+02  1.00000000e-03   2.35857247e-02   2.37710191e-02   3.54790137e-01
      650  1.50650000e+02  1.00000000e-03   2.35244383e-02   2.37147732e-02   3.53905645e-01
      675  1.50675000e+02  1.00000000e-03   2.34853866e-02   2.36556062e-02   3.53215293e-01
      700  1.50700000e+02  1.00000000e-03   2.34691478e-02   2.35938540e-02   3.52724480e-01
      725  1.50725000e+02  1.00000000e-03   2.34761691e-02   2.35298702e-02   3.52437235e-01
      750  1.50750000e+02  1.00000000e-03   2.35066540e-02   2.34640090e-02   3.52355928e-01
      775  1.50775000e+02  1.00000000e-03   2.35604753e-02   2.33966269e-02   3.52481250e-01
      800  1.50800000e+02  1.00000000e-03   2.36371019e-02   2.33280761e-02   3.52812167e-01
      825  1.50825000e+02  1.00000000e-03   2.37356796e-02   2.32587258e-02   3.53346370e-01
      850  1.50850000e+02  1.00000000e-03   2.38551184e-02   2.31889763e-02   3.54080479e-01
      875  1.50875000e+02  1.00000000e-03   2.39942424e-02   2.31192723e-02   3.55010324e-01
      900  1.50900000e+02  1.00000000e-03   2.41519309e-02   2.30501109e-02   3.56131064e-01
      925  1.50925000e+02  1.00000000e-03   2.43271467e-02   2.29820202e-02   3.57436818e-01
      950  1.50950000e+02  1.00000000e-03   2.45188604e-02   2.29155325e-02   3.58920107e-01
      975  1.50975000e+02  1.00000000e-03   2.47259057e-02   2.28511485e-02   3.60571324e-01
     1000  1.51000000e+02  1.00000000e-03   2.49468466e-02   2.27893161e-02   3.62378545e-01
     1025  1.51025000e+02  1.00000000e-03   2.51799532e-02   2.27304279e-02   3.64327887e-01
     1050  1.51050000e+02  1.00000000e-03   2.54233043e-02   2.26748409e-02   3.66404290e-01
     1075  1.51075000e+02  1.00000000e-03   2.56749051e-02   2.26228980e-02   3.68592059e-01
